parameter,sparsity,top1,top5,loss
module.conv1.weight,0.0,76.13,92.862,0.9646787427517838
module.conv1.weight,0.05,76.134,92.866,0.9645168806369209
module.conv1.weight,0.1,76.088,92.868,0.9645044184004773
module.conv1.weight,0.15000000000000002,76.134,92.83399999999999,0.9655836951367704
module.conv1.weight,0.2,76.12,92.84400000000001,0.9650561857436385
module.conv1.weight,0.25,75.906,92.792,0.9699838768158641
module.conv1.weight,0.30000000000000004,75.968,92.794,0.9700244576195065
module.conv1.weight,0.35000000000000003,75.59400000000001,92.598,0.9870678324024288
module.conv1.weight,0.4,75.388,92.406,1.0026680570932063
module.conv1.weight,0.45,74.616,92.084,1.032220670991406
module.conv1.weight,0.5,72.77799999999999,91.10000000000001,1.1076163092286007
module.conv1.weight,0.55,71.104,90.07000000000001,1.1880887205503423
module.conv1.weight,0.6000000000000001,71.636,90.544,1.1602822400781578
module.conv1.weight,0.65,66.456,86.812,1.4343639812907392
module.conv1.weight,0.7000000000000001,62.91,84.516,1.6103487358409532
module.conv1.weight,0.75,59.974,82.462,1.7486701142422996
module.conv1.weight,0.8,47.958,72.486,2.4445109780953853
module.conv1.weight,0.8500000000000001,41.188,64.82600000000001,2.8852593752802647
module.conv1.weight,0.9,12.878,28.446000000000005,5.931392810782611
module.layer1.0.conv1.weight,0.0,76.13,92.862,0.9646787427517838
module.layer1.0.conv1.weight,0.05,76.13,92.862,0.9646787427517838
module.layer1.0.conv1.weight,0.1,76.13,92.862,0.9646806849204763
module.layer1.0.conv1.weight,0.15000000000000002,76.122,92.862,0.9647180568046715
module.layer1.0.conv1.weight,0.2,76.086,92.862,0.9650079239235844
module.layer1.0.conv1.weight,0.25,76.098,92.866,0.9657965145092832
module.layer1.0.conv1.weight,0.30000000000000004,76.012,92.838,0.9660970995924911
module.layer1.0.conv1.weight,0.35000000000000003,75.92999999999999,92.848,0.9688769728705593
module.layer1.0.conv1.weight,0.4,75.88000000000001,92.762,0.9720908109174694
module.layer1.0.conv1.weight,0.45,75.8,92.804,0.973920929796842
module.layer1.0.conv1.weight,0.5,75.75,92.776,0.9772005009712007
